rowid,month,year,eventName,eventCount,previous,change,changePercentage,year.month
1,09,2021,page_view,786,NA,NA,NA,2021/09
2,10,2021,page_view,637,786,-149,-18.956743002544528,2021/10
3,11,2021,page_view,2373,637,1736,272.5274725274725,2021/11
4,12,2021,page_view,3484,2373,1111,46.818373367045936,2021/12
5,01,2022,page_view,8708,3484,5224,149.9425947187141,2022/01
6,02,2022,page_view,7074,8708,-1634,-18.76435461644465,2022/02
7,03,2022,page_view,10322,7074,3248,45.91461690698332,2022/03
8,04,2022,page_view,11637,10322,1315,12.739779112575084,2022/04
9,05,2022,page_view,29717,11637,18080,155.3665033943456,2022/05
1,09,2021,first_visit,434,NA,NA,NA,2021/09
2,10,2021,first_visit,364,434,-70,-16.129032258064516,2021/10
3,11,2021,first_visit,1364,364,1000,274.72527472527474,2021/11
4,12,2021,first_visit,1999,1364,635,46.55425219941349,2021/12
5,01,2022,first_visit,2359,1999,360,18.009004502251123,2022/01
6,02,2022,first_visit,1722,2359,-637,-27.002967359050444,2022/02
7,03,2022,first_visit,2832,1722,1110,64.45993031358886,2022/03
8,04,2022,first_visit,265,2832,-2567,-90.64265536723164,2022/04
9,05,2022,first_visit,3609,265,3344,1261.8867924528304,2022/05
